,ProdTaken,Age,CityTier,Gender,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisited,MonthlyIncome,NumberofAdultVisited,TypeofContact_Company Invited,TypeofContact_Self Enquiry,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,ProductPitched_Basic,ProductPitched_Deluxe,ProductPitched_King,ProductPitched_Standard,ProductPitched_Super Deluxe,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Unmarried,Designation_AVP,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP
0,1,41.0,3,0,3.0,3.0,1.0,1,2,1,0.0,20993.0,3.0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1,0,49.0,1,1,4.0,4.0,2.0,0,3,1,2.0,20130.0,1.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
3,0,33.0,1,0,3.0,3.0,2.0,1,5,1,1.0,17909.0,1.0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
4,0,33.0,1,1,3.0,4.0,1.0,0,5,1,0.0,18468.0,2.0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
5,0,32.0,1,1,3.0,3.0,1.0,0,5,1,1.0,18068.0,2.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
6,0,59.0,1,0,2.0,5.0,5.0,1,2,1,1.0,17670.0,1.0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
7,0,30.0,1,1,3.0,3.0,2.0,0,2,0,1.0,17693.0,2.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
8,0,38.0,1,1,4.0,3.0,1.0,0,3,0,0.0,24526.0,2.0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
9,0,36.0,1,1,3.0,3.0,7.0,0,3,1,0.0,20237.0,3.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
10,0,35.0,1,1,2.0,4.0,1.0,0,3,1,1.0,17426.0,1.0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
